epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,915.439,1.27116,1.36035,1.14654,0.83428,0.39179,0.48005,0.31191,1.12897,3.93808,0.96356,0.000495041,0.000495041,0.000495041
140,923.035,1.26774,1.37245,1.14855,0.83358,0.41754,0.48468,0.32637,1.12339,4.55297,0.9792,0.000492042,0.000492042,0.000492042
141,928.829,1.28926,1.30779,1.16003,0.82082,0.44276,0.4946,0.32928,1.10465,4.50066,0.96975,0.000489042,0.000489042,0.000489042
142,936.259,1.30873,1.3662,1.16928,0.74943,0.44907,0.48013,0.31948,1.14448,3.99432,0.98381,0.000486042,0.000486042,0.000486042
143,942.215,1.31207,1.32267,1.16976,0.80268,0.44326,0.47806,0.32198,1.1335,4.15578,0.96575,0.000483043,0.000483043,0.000483043
144,948.583,1.25686,1.32389,1.15197,0.83151,0.41946,0.48578,0.31968,1.14587,4.14357,0.97881,0.000480043,0.000480043,0.000480043
145,955.28,1.2183,1.23626,1.13185,0.79619,0.41286,0.4816,0.31168,1.14978,3.42119,0.96361,0.000477043,0.000477043,0.000477043
146,961.351,1.2314,1.25017,1.12456,0.75879,0.42427,0.47528,0.3113,1.15823,2.98163,0.97728,0.000474043,0.000474043,0.000474043
147,968.415,1.23453,1.30534,1.12357,0.78545,0.41155,0.47252,0.30386,1.14399,4.52454,0.96105,0.000471044,0.000471044,0.000471044
148,974.342,1.2524,1.31695,1.15378,0.75176,0.44168,0.47377,0.31415,1.10052,7.50034,0.96652,0.000468044,0.000468044,0.000468044
149,981.465,1.22765,1.23904,1.14485,0.7955,0.4199,0.47833,0.31013,1.101,6.84499,0.97226,0.000465044,0.000465044,0.000465044
150,987.358,1.22629,1.28954,1.1359,0.76853,0.41883,0.47529,0.3123,1.13264,3.69906,0.97906,0.000462045,0.000462045,0.000462045
151,994.796,1.23703,1.31001,1.13836,0.7186,0.44308,0.46849,0.31049,1.12222,2.42198,0.99074,0.000459045,0.000459045,0.000459045
152,1000.39,1.22252,1.27064,1.13219,0.71935,0.45513,0.46904,0.3121,1.10991,2.35315,0.98913,0.000456045,0.000456045,0.000456045
153,1007.94,1.20436,1.267,1.11781,0.7445,0.44812,0.47098,0.31629,1.11073,2.27211,0.99665,0.000453046,0.000453046,0.000453046
154,1013.85,1.18223,1.23965,1.14119,0.70076,0.4541,0.46267,0.31213,1.11768,2.44822,0.99076,0.000450046,0.000450046,0.000450046
155,1019.88,1.18573,1.2106,1.11061,0.7989,0.41172,0.47321,0.31272,1.15093,3.56065,1.00345,0.000447046,0.000447046,0.000447046
156,1027,1.2725,1.25949,1.14854,0.73909,0.44501,0.47499,0.30434,1.15572,3.89364,1.01168,0.000444046,0.000444046,0.000444046
157,1032.82,1.23796,1.31123,1.15393,0.76994,0.44366,0.47631,0.30564,1.13887,4.36616,0.99576,0.000441047,0.000441047,0.000441047
158,1040.04,1.22516,1.25976,1.12993,0.74945,0.42711,0.45717,0.29199,1.1606,4.93184,0.98544,0.000438047,0.000438047,0.000438047
